Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;1546;35;;;
3500204;Interior;Adolfo;254;6;;;
3500303;Interior;Aguaí;1139;22;;;
3500402;Interior;Águas da Prata;252;9;;;
3500501;Interior;Águas de Lindóia;661;12;;;
3500550;Interior;Águas de Santa Bárbara;234;3;;;
3500600;Interior;Águas de São Pedro;148;2;;;
3500709;Interior;Agudos;1624;31;;;
3500758;Interior;Alambari;233;7;;;
3500808;Interior;Alfredo Marcondes;140;4;;;
3500907;Interior;Altair;82;5;;;
3501004;Interior;Altinópolis;510;15;;;
3501103;Interior;Alto Alegre;161;4;;;
3501152;Interior;Alumínio;699;21;;;
3501202;Interior;Álvares Florence;191;7;;;
3501301;Interior;Álvares Machado;735;16;;;
3501400;Interior;Álvaro de Carvalho;115;4;;;
3501509;Interior;Alvinlândia;58;0;;;
3501608;Interior;Americana;11308;289;;;
3501707;Interior;Américo Brasiliense;2425;42;;;
3501806;Interior;Américo de Campos;454;15;;;
3501905;Interior;Amparo;2846;54;;;
3502002;Interior;Analândia;201;3;;;
3502101;Interior;Andradina;3118;105;;;
3502200;Interior;Angatuba;956;23;;;
3502309;Interior;Anhembi;92;2;;;
3502408;Interior;Anhumas;154;1;;;
3502507;Interior;Aparecida;1341;35;;;
3502606;Interior;Aparecida d'Oeste;421;11;;;
3502705;Interior;Apiaí;654;20;;;
3502754;Interior;Araçariguama;802;23;;;
3502804;Interior;Araçatuba;15293;314;;;
3502903;Interior;Araçoiaba da Serra;1395;30;;;
3503000;Interior;Aramina;192;7;;;
3503109;Interior;Arandu;144;7;;;
3503158;Interior;Arapeí;142;2;;;
3503208;Interior;Araraquara;12148;206;;;
3503307;Interior;Araras;8961;164;;;
3503356;Interior;Arco-Íris;62;4;;;
3503406;Interior;Arealva;384;2;;;
3503505;Interior;Areias;179;1;;;
3503604;Interior;Areiópolis;405;5;;;
3503703;Interior;Ariranha;262;12;;;
3503802;Interior;Artur Nogueira;2076;49;;;
3503901;RMSP (exceto capital);Arujá;4060;133;;;
3503950;Interior;Aspásia;68;2;;;
3504008;Interior;Assis;3881;68;;;
3504107;Interior;Atibaia;6046;106;;;
3504206;Interior;Auriflama;954;20;;;
3504305;Interior;Avaí;162;3;;;
3504404;Interior;Avanhandava;390;14;;;
3504503;Interior;Avaré;3013;50;;;
3504602;Interior;Bady Bassitt;1674;25;;;
3504701;Interior;Balbinos;277;3;;;
3504800;Interior;Bálsamo;825;31;;;
3504909;Interior;Bananal;584;2;;;
3505005;Interior;Barão de Antonina;49;1;;;
3505104;Interior;Barbosa;260;5;;;
3505203;Interior;Bariri;1818;50;;;
3505302;Interior;Barra Bonita;2189;48;;;
3505351;Interior;Barra do Chapéu;179;0;;;
3505401;Interior;Barra do Turvo;311;10;;;
3505500;Interior;Barretos;8205;193;;;
3505609;Interior;Barrinha;946;37;;;
3505708;RMSP (exceto capital);Barueri;15925;532;;;
3505807;Interior;Bastos;336;12;;;
3505906;Interior;Batatais;1579;50;;;
3506003;Interior;Bauru;26393;433;;;
3506102;Interior;Bebedouro;2619;58;;;
3506201;Interior;Bento de Abreu;148;0;;;
3506300;Interior;Bernardino de Campos;275;6;;;
3506359;Interior;Bertioga;3286;64;;;
3506409;Interior;Bilac;431;9;;;
3506508;Interior;Birigui;7265;192;;;
3506607;RMSP (exceto capital);Biritiba Mirim;748;46;;;
3506706;Interior;Boa Esperança do Sul;575;10;;;
3506805;Interior;Bocaina;970;19;;;
3506904;Interior;Bofete;397;4;;;
3507001;Interior;Boituva;2978;49;;;
3507100;Interior;Bom Jesus dos Perdões;937;8;;;
3507159;Interior;Bom Sucesso de Itararé;69;4;;;
3507209;Interior;Borá;21;1;;;
3507308;Interior;Boracéia;373;6;;;
3507407;Interior;Borborema;638;18;;;
3507456;Interior;Borebi;96;2;;;
3507506;Interior;Botucatu;8271;108;;;
3507605;Interior;Bragança Paulista;8624;145;;;
3507704;Interior;Braúna;215;7;;;
3507753;Interior;Brejo Alegre;188;9;;;
3507803;Interior;Brodowski;1296;35;;;
3507902;Interior;Brotas;296;11;;;
3508009;Interior;Buri;999;19;;;
3508108;Interior;Buritama;1277;36;;;
3508207;Interior;Buritizal;107;4;;;
3508306;Interior;Cabrália Paulista;156;2;;;
3508405;Interior;Cabreúva;2370;54;;;
3508504;Interior;Caçapava;3734;98;;;
3508603;Interior;Cachoeira Paulista;1100;25;;;
3508702;Interior;Caconde;712;5;;;
3508801;Interior;Cafelândia;560;20;;;
3508900;Interior;Caiabu;54;4;;;
3509007;RMSP (exceto capital);Caieiras;4754;141;;;
3509106;Interior;Caiuá;177;2;;;
3509205;RMSP (exceto capital);Cajamar;2281;93;;;
3509254;Interior;Cajati;2593;53;;;
3509304;Interior;Cajobi;481;13;;;
3509403;Interior;Cajuru;550;18;;;
